Kod 	Klartext
91301 	Hemangioendoteliom, låggradigt benignt
91303 	Hemangioendoteliom, malignt
91401 	Misstänkt Kaposis sarkom
91403 	Angiosarcoma Kaposi(Kaposi´s sarkom)
91501 	Hemangiopericytom UNS
91503 	Hemangiopericytom, malignt
91600 	Nasofaryngealt angiofibrom (juvenilt)
91611 	Hemangioblastom
91701 	Lymfangiosarkom, misst
91703 	Lymfangiosarkom
91741 	Lymfangiomatosis
91801 	Misstänkt osteosarkom
91803 	Osteosarkom
91813 	Osteosarkom, kondroblastiskt
91823 	Osteosarkom, fibroblastiskt
91843 	Osteosarkom utvecklat från Pagets sjukdom i ben
91853 	Osteosarkom, småcelligt
91863 	Osteosarkom, centralt
91873 	Osteosarkom, intraosseöst högt differentierat
91923 	Osteosarkom, juxtakortikalt
91933 	Osteosarkom, periostealt
91943 	Osteosarkom, ytligt växande, högt differentierat
92001 	Osteoblastom, aggressivt
92101 	Osteokondromatos
92201 	Kondromatos
92203 	Kondrosarkom
92213 	Kondrosarkom, juxtakortikalt
92311 	Misstänkt kondro-myxo-sarkom
92313 	Kondrosarkom, myxoitt
92403 	Kondrosarkom, mesenkymalt
92303 	Kondroblasom, mal
91333 	Hemangioendoteliom, malignt epiteloitt
92421 	Misstänkt kondrosarkom, mesenkymalt
91210 	Cavernous hemangioma
91500 	Hemangiopericytom, benignt
92423 	Kondrosarkom, klarcelligt
92433 	Kondrosarkom, dedifferentierat
92501 	Jättecellstumör
92503 	Jättecellstumör, malign
92513 	Jättecellstumör i mjukvävnad, malign
92523 	Jättecells tumör tenosynovial
92601 	Misstänkt Ewings sarkom
92603 	Ewing sarkom
92613 	Adamantinom (långa rörben)
92701 	Odontogen tumör UNS
92703 	Odontogen tumör, malign
92800 	Odontom, UNS
92903 	Ameloblastiskt odontosarkom
93100 	Adamantinom (utom långa rörben), ameloblastom UNS
93101 	Adamantinom, misst
93103 	Adamantinom, malignt (ej långa rörben)
93303 	Ameloblastiskt fibrosarkom
93411 	Clear cell odontogenic tumör
93423 	Odontogent carcinosarkom
93501 	Kraniofaryngeom (C75.2)
93601 	Pinealom (C75.3)
93621 	Misstänkt pinealom malignt
93623 	Pinealom, malignt (pineoblastom) (C75.3)
93630 	Neuroektodermal tumör, melanotisk
93641 	Misstänkt perifert neurofibrosarkom
93643 	Perifer neuroektodermal tumör
93703 	Kordom UNS
93733 	Parachordom med malignifiering
93801 	Misstänkt gliom, malignt
93803 	Gliom, malignt
93813 	Gliomatos, cerebral
93821 	Misstänkt oligoastrocytom mixed)/gliom
93823 	Gliom, mixed
93831 	Subependymom
93841 	Astrocytom, subependymalt jättecellstyp
93900 	Plexuspapillom, choroitt (C71.5)
93901 	Plexuspapillom, atypiskt choroitt (C71.5)
93903 	Plexuscarcinom, choroitt (C71.5)
93913 	Ependymom (gr I-II)
93923 	Ependymom, anaplastiskt (gr III-IV)
93933 	Ependymom, papillärt
