Kod 	Klartext
93801 	"Misstänkt gliom, malignt"
93803 	"Gliom, malignt"
93821 	"Misstänkt oligoastrocytom (mixed)"
93823 	"Oligoastrocytom (mixed)"
93831 	"Subependymom"
93900 	"Plexus-papillom (grad I-II)"
93903 	"Plexus-carcinom (grad III-IV)"
93913 	"Ependymom (grad I eller II)"
93923 	"Ependymoblastom (ependymom grad III och IV)"
94001 	"Astrocytom"
94003 	"Astrocytom, lågmalignt (anges ofta som astrocytom grad I eller II)"
94013 	"Astrocytom, anaplastiskt högmalignt (grad III och IV)"
94203 	"Astrocytom fibrillärt"
94213 	"Astrocytom, juvenilt (grad 0-I), pilocytärt"
93841 	"Astrocytom, subependymalt jättecellstyp"
93901 	"Plexuspapillom, atypiskt choroitt (C71.5)"
93933 	"Ependymom, papillärt"
93941 	"Ependymom, myxopapillärt (C72.0)"
94113 	"Astrocytom, gemistocytiskt"
94121 	"Astrocytom, desmoplastiskt infantilt"
94130 	"Neuroepitelial tumör, dysembryoplastisk"
94211 	"Astrocytom, pilocytiskt"
94221 	"Misstänkt spongioblastom"
94223 	"Spongioblastom (grad 0-I)"
94243 	"Plemorft xantoastrcytom gr 1-2"
94401 	"Misstänkt glioblastoma multiforme"
94403 	"Glioblastoma multiforme"
94421 	"Misstänkt gliosarkom"
94423 	"Gliosarkom"
94501 	"Misstänkt oligodendrogliom"
94503 	"Oligodendrogliom"
94513 	"Oligodendrogliom anapastiskt"
94601 	"Misstänkt oligodendroblastom, malignt"
94603 	"Oligodendroblastom, malignt"
94701 	"Misstänkt medulloblastom (alltid malignt)"
94703 	"Medulloblastom (alltid malignt)"
94731 	"Misstänkt primitiv neuroektodermal tumör (PNET)"
94733 	"Primitiv neuroektodermal tumör (PNET)"
94413 	"Glioblastom, jättecells-"
94713 	"Medulloblastom, desmoplastiskt nodulärt"
94723 	"Medullomyoblastom"
94743 	"Medulloblastom, storcelligt"
94900 	"Ganglioneurom"
94901 	"Misstänkt ganglioneuroblastom"
94903 	"Ganglioneuroblastom"
95001 	"Misstänkt neuroblastom"
95003 	"Neuroblastom"
95030 	"Neuroepitelialtumör"
95050 	"desmoplastisk infantilt astrocytom"
95051 	"Gangliogliom"
95060 	"Neurocytom centralt"
95111 	"Misstänkt retinoblastom (främst hos barn)"
95113 	"Retinoblastom (främst hos barn)"
95233 	"Esthesioneuroepiteliom"
95300 	"Meningiom"
95301 	"Meningiom, benignt"
95303 	"Meningiom, malignt"
95310 	"Meningioteliomatöst meningiom"
94920 	"Gangliocytom"
94930 	"Gangliocytom dysplastiskt i cerebellum (C71.6)"
95013 	"Medulloepiteliom"
95023 	"Medulloepiteliom, teratoitt"
95033 	"Neuroepiteliom"
95053 	"Gangliogliom, anaplastiskt"
95061 	"Neurocytom, centralt"
95083 	"Teratoid/rhabdoid tumör, atypisk"
95103 	"Retinoblastom (främst hos barn) (C69.2)"
95123 	"Retinoblastom, odifferentierat (C69.2)"
